MESEC	DAN V MESECU	Umrli
2000M08	9	38
2000M08	10	48
2000M08	11	63
2000M08	12	53
2000M08	13	40
2000M08	14	46
2000M08	15	43
2000M08	16	41
2000M08	17	43
2000M08	18	40
2000M08	19	51
2000M08	20	60
2000M08	21	65
2000M08	22	62
2000M08	23	58
2000M08	24	41
2000M08	25	47
2000M08	26	34
2000M08	27	38
2000M08	28	57
2000M08	29	53
2000M08	30	34
2000M08	31	42
2000M09	1	50
2000M09	2	46
2000M09	3	53
2000M09	4	45
2000M09	5	51
2000M09	6	44
2000M09	7	44
2000M09	8	30
2000M09	9	56
2000M09	10	38
2000M09	11	43
2000M09	12	40
2000M09	13	44
2000M09	14	39
2000M09	15	53
2000M09	16	50
2000M09	17	47
2000M09	18	42
2000M09	19	35
2000M09	20	55
2000M09	21	49
2000M09	22	47
2000M09	23	49
2000M09	24	37
2000M09	25	43
2000M09	26	47
2000M09	27	42
2000M09	28	38
2000M09	29	36
2000M09	30	60
2000M09	31	-
2000M10	1	54
2000M10	2	48
2000M10	3	54
2000M10	4	41
2000M10	5	48
2000M10	6	40
2000M10	7	40
2000M10	8	53
2000M10	9	37
2000M10	10	63
2000M10	11	72
2000M10	12	47
2000M10	13	54
2000M10	14	65
2000M10	15	43
2000M10	16	68
2000M10	17	53
2000M10	18	40
2000M10	19	35
2000M10	20	49
2000M10	21	50
2000M10	22	50
2000M10	23	56
2000M10	24	44
2000M10	25	59
2000M10	26	55
2000M10	27	44
2000M10	28	49
2000M10	29	52
2000M10	30	49
2000M10	31	35
2000M11	1	47
2000M11	2	60
2000M11	3	52
2000M11	4	57
2000M11	5	48
2000M11	6	51
2000M11	7	50
2000M11	8	54
2000M11	9	51
2000M11	10	51
2000M11	11	57
2000M11	12	45
2000M11	13	59
2000M11	14	63
2000M11	15	56
2000M11	16	51
2000M11	17	42
2000M11	18	44
2000M11	19	51
2000M11	20	45
2000M11	21	55
2000M11	22	41
2000M11	23	43
2000M11	24	55
2000M11	25	50
2000M11	26	56
2000M11	27	62
2000M11	28	41
2000M11	29	53
2000M11	30	48
2000M11	31	-
2000M12	1	49
2000M12	2	51
2000M12	3	55
2000M12	4	46
2000M12	5	54
2000M12	6	41
2000M12	7	44
2000M12	8	58
2000M12	9	64
2000M12	10	54
2000M12	11	52
2000M12	12	52
2000M12	13	41
2000M12	14	49
2000M12	15	57
2000M12	16	50
2000M12	17	45
2000M12	18	41
2000M12	19	49
2000M12	20	52
2000M12	21	52
2000M12	22	68
2000M12	23	52
2000M12	24	56
2000M12	25	59
2000M12	26	63
2000M12	27	45
2000M12	28	69
2000M12	29	56
2000M12	30	46
2000M12	31	36
2001M01	1	68
2001M01	2	54
2001M01	3	46
2001M01	4	53
2001M01	5	53
2001M01	6	54
2001M01	7	64
2001M01	8	57
2001M01	9	49
2001M01	10	55
2001M01	11	56
2001M01	12	56
2001M01	13	42
2001M01	14	41
2001M01	15	62
2001M01	16	50
2001M01	17	49
2001M01	18	44
2001M01	19	55
2001M01	20	48
2001M01	21	42
